business_id,business_name,business_address,recent_score,recent_risk,average_score,minimum_score,maximum_score
89069,Yangtze Meat & Fish Market,4599 Mission St,92.0,Low Risk,92.0,92.0,92.0
89070,Lafayette Coffee Shop,611 Larkin St,67.0,Moderate Risk,67.0,67.0,67.0
89071,Street Taco,83 9th St.,84.0,High Risk,85.25,84.0,86.0
89072,Epicurean@SHCP,1055 Ellis St.,91.0,High Risk,85.88235294117646,80.0,96.0
89076,Sasaki,2400 Harrison St,100.0,,100.0,100.0,100.0
89080,Stanza Coffee,3126 16 St,92.0,Moderate Risk,92.4,89.0,100.0
89086,Allegro Romano,1701 Jones St,87.0,Low Risk,91.15384615384616,87.0,94.0
89111,Cochinita,709 O'Farrell St,94.0,Low Risk,90.4,88.0,94.0
89114,Chaat Corner - Powell St.,138 Cyril Magnin St,88.0,Low Risk,86.88888888888889,86.0,88.0
89115,Eden Silk Road Cuisine,572 O'Farrell St,88.0,Low Risk,90.0,88.0,94.0
89127,J & E Restaurant,2537 24th St.,74.0,Moderate Risk,77.2,74.0,82.0
89128,The Bird,115 New Montgomery St,90.0,Low Risk,87.5,86.0,90.0
89130,Tasty Pot,815 Clement St,82.0,High Risk,83.42857142857143,78.0,90.0
89133,The Epicurian Trader,1909 A Union St,88.0,Moderate Risk,91.33333333333333,88.0,96.0
89138,Crostini and Java,899 Hyde St,100.0,,100.0,100.0,100.0
89140,Woods Outbound,4045 Judah St,100.0,,100.0,100.0,100.0
89141,Cha Cha Cha on Mission,2327 Mission St,60.0,High Risk,60.0,60.0,60.0
89143,Sno-Crave Tea House,1181 Ocean Ave,92.0,Low Risk,92.5,92.0,94.0
89167,Monterey Pizza and Asian Zap,599 Monterey Blvd,83.0,Low Risk,87.0,83.0,91.0
89188,Genji Sushi CAS,2001 Market St,91.0,Low Risk,92.66666666666667,91.0,96.0
89191,"Culinary Eye, Inc",1501 Cortland Ave,96.0,Moderate Risk,94.66666666666667,94.0,96.0
89193,Wine Jar,1870 Fillmore St,87.0,Low Risk,87.0,87.0,87.0
89194,Contraband,260 5th St.,96.0,Moderate Risk,96.5,96.0,98.0
89196,"Fancy Wheatfield Bakery, Inc",2684 San Bruno Ave,90.0,Low Risk,90.85714285714286,90.0,92.0
89213,Guerra's to Go,345 Taraval St,100.0,Moderate Risk,98.0,96.0,100.0
89216,"Rooster and Rice Too, LLC",303 2nd St Plaza,94.0,Low Risk,94.0,94.0,94.0
89276,"Fresca Gardens, Inc","135 4th St,  FC-6",88.0,Low Risk,88.0,88.0,88.0
89292,Wooden,862 Cole St,100.0,,100.0,100.0,100.0
89296,Wetzel's Pretzels (cart),3251 20th Ave 102,92.0,Moderate Risk,92.0,92.0,92.0
89305,Golden Coast Restaurant,1540 Ocean St,79.0,High Risk,74.36842105263158,69.0,82.0
89315,Sweetgreen Soma,171 2nd St,77.0,Moderate Risk,82.7,77.0,89.0
89322,Cafe at the Tilden,345 Taylor St,100.0,,100.0,100.0,100.0
